,0
sex,-0.0005486513079152807
age,0.002599238055254774
bmi,-0.0004418514300585084
smoking,0.0009146824189528788
diabetes,0.001004901680324627
hypertension,-0.00035393646009690145
dyslipidemia,-0.00034915158324059934
chestpain,-5.105407337207803e-05
dyspnea,-0.0016182980785996188
str_seg_1,-0.002232333667352847
str_seg_4,0.0007154039526942093
str_seg_5,-0.0016211585384757188
str_seg_6,0.002885151368907771
str_seg_7,0.0023208319820688657
str_seg_8,-0.0008458557922027382
str_seg_9,0.0003976028188542622
str_seg_10,0.0021362177215442967
str_seg_11,0.000278155636157975
str_seg_12,0.0003573202880284959
str_seg_13,-0.002356058097694342
str_seg_14,-1.6855550434748474e-05
str_seg_15,0.00169813196315595
str_seg_16,-0.001842899986034639
str_seg_17,-0.00019436416040962993
max_str_seg,0.00037427296446256226
max_lad_str,0.0007326286341295078
max_lcx_str,0.0010206376809117242
max_rca_str,0.0006094512095977015
non-zero pet segs,-0.0012542466710321973
PCA1,-0.00020558511153508826
PCA2,0.001064107412536122
