,0
sex,6.171653022593483e-06
age,0.00026470782844178364
bmi,-0.00046923697422271703
smoking,5.94877680005756e-05
diabetes,4.549100800745464e-05
hypertension,-0.00023785761205705872
dyslipidemia,-2.3566787128603715e-05
chestpain,0.00010984187602595748
dyspnea,-0.0004281342240460021
str_seg_1,0.0007034443492741153
str_seg_4,-0.0008527769607108463
str_seg_5,-0.001372913646134927
str_seg_6,0.0020667832698727873
str_seg_7,0.0015473731323034318
str_seg_8,-0.0013628008331971618
str_seg_9,0.0022109880942324375
str_seg_10,-0.000297467266592728
str_seg_11,0.002871432991185158
str_seg_12,-0.003996287316218787
str_seg_13,0.0008194037895797489
str_seg_14,-0.0024712113340903644
str_seg_15,0.0009137468067421499
str_seg_16,-0.0009331012592765935
str_seg_17,0.0001933150247359265
max_str_seg,-0.00014880429987567187
max_lad_str,-0.0005896623490723485
max_lcx_str,0.00048650212310423594
max_rca_str,0.0011211539675089067
non-zero pet segs,0.0003584721575449018
